Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z
0.362,-0.019,0.186,352.488,347.4,351.015
0.37,-0.021,0.212,352.881,344.13,351.75
0.374,-0.027,0.257,353.611,340.707,352.186
0.374,-0.03,0.273,353.764,339.732,352.162
0.373,-0.032,0.281,353.969,339.358,352.239
0.371,-0.034,0.306,354.241,339.057,352.182
0.363,-0.037,0.342,353.952,339.088,352.702
0.35,-0.035,0.387,353.614,338.421,353.694
0.349,-0.033,0.395,354.035,338.02,353.82
0.33,-0.024,0.455,352.323,335.929,355.384
0.316,-0.021,0.498,353.889,334.089,356.249
0.308,-0.019,0.515,354.23,333.183,356.271
0.301,-0.019,0.531,354.05,331.727,356.479
0.276,-0.019,0.581,353.669,326.953,357.374
0.267,-0.02,0.598,353.468,325.309,357.516
0.251,-0.024,0.63,353.227,322.179,358.114
0.244,-0.025,0.646,353.099,320.416,358.499
0.24,-0.025,0.654,353.001,319.575,358.601
0.212,-0.024,0.714,351.11,314.773,359.341
0.212,-0.024,0.714,351.11,314.773,359.341
0.189,-0.017,0.756,349.8,310.898,0.154
0.138,-0.01,0.818,348.279,305.559,2.106
0.138,-0.01,0.818,348.279,305.559,2.106
0.097,-0.011,0.848,349.11,303.538,2.775
0.051,-0.015,0.872,350.051,301.773,4.106
0.051,-0.015,0.872,350.051,301.773,4.106
-0.002,-0.021,0.89,350.072,300.519,4.955
-0.002,-0.021,0.89,350.072,300.519,4.955
-0.002,-0.021,0.89,350.072,300.519,4.955
-0.136,-0.026,0.901,349.693,299.639,4.62
-0.136,-0.026,0.901,349.693,299.639,4.62
-0.136,-0.026,0.901,349.693,299.639,4.62
-0.225,-0.016,0.906,349.49,300.846,5.665
-0.225,-0.016,0.906,349.49,300.846,5.665
-0.317,-0.012,0.917,349.822,300.664,7.87
-0.317,-0.012,0.917,349.822,300.664,7.87
-0.317,-0.012,0.917,349.822,300.664,7.87
-0.317,-0.012,0.917,349.822,300.664,7.87
-0.439,-0.03,0.949,346.362,298.53,9.134
-0.439,-0.03,0.949,346.362,298.53,9.134
-0.562,-0.026,0.98,345.803,292.897,10.285
-0.562,-0.026,0.98,345.803,292.897,10.285
-0.562,-0.026,0.98,345.803,292.897,10.285
-0.562,-0.026,0.98,345.803,292.897,10.285
-0.735,-0.034,0.954,346.368,287.886,8.962
-0.735,-0.034,0.954,346.368,287.886,8.962
-0.735,-0.034,0.954,346.368,287.886,8.962
-0.735,-0.034,0.954,346.368,287.886,8.962
-0.735,-0.034,0.954,346.368,287.886,8.962
-0.735,-0.034,0.954,346.368,287.886,8.962
-0.735,-0.034,0.954,346.368,287.886,8.962
-0.735,-0.034,0.954,346.368,287.886,8.962
-1.035,-0.007,0.883,342.779,303.228,5.367
-1.035,-0.007,0.883,342.779,303.228,5.367
-1.035,-0.007,0.883,342.779,303.228,5.367
-1.035,-0.007,0.883,342.779,303.228,5.367
-1.035,-0.007,0.883,342.779,303.228,5.367
-1.242,-0.023,0.956,342.21,325.25,2.513
-1.242,-0.023,0.956,342.21,325.25,2.513
-1.345,-0.012,0.997,343.783,337.484,0.212
-1.345,-0.012,0.997,343.783,337.484,0.212
-1.345,-0.012,0.997,343.783,337.484,0.212
-1.345,-0.012,0.997,343.783,337.484,0.212
-1.345,-0.012,0.997,343.783,337.484,0.212
-1.469,-0.014,1.014,344.264,352.015,359.799
-1.469,-0.014,1.014,344.264,352.015,359.799
-1.648,-0.013,1,344.974,7.378,357.084
-1.648,-0.013,1,344.974,7.378,357.084
-1.648,-0.013,1,344.974,7.378,357.084
-1.648,-0.013,1,344.974,7.378,357.084
-1.756,0.001,0.985,346.585,11.679,358.053
-1.756,0.001,0.985,346.585,11.679,358.053
-1.756,0.001,0.985,346.585,11.679,358.053
-1.83,0.003,0.968,345.965,13.094,0.314
-1.83,0.003,0.968,345.965,13.094,0.314
-1.83,0.003,0.968,345.965,13.094,0.314
-1.83,0.003,0.968,345.965,13.094,0.314
-1.86,0.003,0.951,345.433,15.671,0.629
-1.86,0.003,0.951,345.433,15.671,0.629
-1.87,0.001,0.931,346.101,20.121,359.522
-1.87,0.001,0.931,346.101,20.121,359.522
-1.87,0.001,0.931,346.101,20.121,359.522
-1.869,-0.002,0.923,346.541,22.214,358.182
-1.869,-0.002,0.923,346.541,22.214,358.182
